Data\Ora;Tipologia;Periferica;Valore;Codice;Descrizione
09/05/2025 01:58:21;;7N0203;ON;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
09/05/2025 01:58:21;;7N0204;ON;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
09/05/2025 01:58:12;;7N0202;ON;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
09/05/2025 01:58:12;;7S0202;ON;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
09/05/2025 01:58:12;;7S0202;ON;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
09/05/2025 01:58:12;;7N0204;ON;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
09/05/2025 01:58:11;;7S0204;ON;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
09/05/2025 01:58:11;;7S0204;ON;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
09/05/2025 01:27:58;;7S0202;OFF;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
09/05/2025 01:27:58;;7S0202;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
09/05/2025 01:27:57;;7N0202;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
09/05/2025 01:27:37;;7S0202;ON;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
09/05/2025 01:27:37;;7N0202;ON;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
09/05/2025 01:27:35;;7S0202;ON;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
09/05/2025 01:27:01;;7N0204;OFF;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
09/05/2025 01:27:01;;7N0204;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
09/05/2025 01:27:01;;7N0202;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
09/05/2025 01:27:01;;7S0204;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
09/05/2025 01:27:01;;7S0204;OFF;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
09/05/2025 01:27:01;;7N0202;OFF;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
09/05/2025 01:27:01;;7S0202;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
09/05/2025 01:27:01;;7S0202;OFF;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
09/05/2025 01:27:00;;7N0203;OFF;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
09/05/2025 01:22:40;;7N0404;OFF;DB106.DBX0.1;#1002 - Missione Prelievo UDC - Tempo massimo di esecuzione raggiunto
09/05/2025 01:03:47;;7N0202;ON;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
09/05/2025 01:03:47;;7N0204;ON;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
09/05/2025 01:03:46;;7S0204;ON;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
09/05/2025 01:03:46;;7S0204;ON;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
09/05/2025 01:03:45;;7S0202;ON;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
09/05/2025 01:03:45;;7S0202;ON;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
09/05/2025 01:03:45;;7N0204;ON;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
09/05/2025 01:03:45;;7N0202;ON;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
